Date,Time,Room,Temperature (°C),Humidity (%),Light (lux),Motion
23/2/2026,05:25:01,Bedroom,27,82.6,6.11,Not Detected
23/2/2026,05:23:56,Living Room,27.1,82.9,9.74,Not Detected
23/2/2026,05:23:55,Bedroom,27,82.6,5.96,Not Detected
23/2/2026,05:22:02,Living Room,27.1,82.9,10.11,Not Detected
23/2/2026,05:22:01,Bedroom,26.9,82.9,6.25,Not Detected
23/2/2026,05:20:58,Living Room,27.1,82.9,10.06,Not Detected
23/2/2026,05:20:57,Bedroom,26.9,82.8,6.25,Not Detected
23/2/2026,05:18:58,Living Room,27.1,82.9,10.21,Not Detected
23/2/2026,05:18:57,Bedroom,26.9,82.8,6.3,Not Detected
23/2/2026,05:18:02,Bedroom,26.9,82.9,6.28,Not Detected
23/2/2026,05:17:54,Living Room,27.1,82.9,9.91,Not Detected
23/2/2026,05:16:59,Living Room,27.1,83,10.13,Not Detected
23/2/2026,05:16:58,Bedroom,26.9,82.8,6.35,Not Detected
23/2/2026,05:16:03,Bedroom,26.9,82.9,6.42,Not Detected
23/2/2026,05:15:55,Living Room,27.1,82.9,10.06,Not Detected
23/2/2026,05:14:59,Living Room,27.1,82.9,10.11,Not Detected
23/2/2026,05:14:58,Bedroom,26.9,82.9,6.25,Not Detected
23/2/2026,05:14:03,Bedroom,26.9,82.9,6.25,Not Detected
23/2/2026,05:13:55,Living Room,27.1,82.9,10.16,Not Detected
23/2/2026,05:13:00,Living Room,27.1,82.9,10.18,Not Detected
23/2/2026,05:12:59,Bedroom,26.9,82.9,6.28,Not Detected
23/2/2026,05:11:56,Living Room,27.1,83,10.18,Not Detected
23/2/2026,05:11:55,Bedroom,26.9,82.9,6.28,Not Detected
23/2/2026,05:11:01,Living Room,27.1,83,10.21,Not Detected
23/2/2026,05:11:00,Bedroom,26.9,82.9,6.45,Not Detected
23/2/2026,05:10:06,Living Room,27.1,83,10.11,Not Detected
23/2/2026,05:10:04,Bedroom,26.9,82.9,6.25,Not Detected
23/2/2026,05:09:01,Living Room,27.1,83,10.01,Not Detected
23/2/2026,05:09:00,Bedroom,26.9,83,6.15,Not Detected
23/2/2026,05:07:00,Bedroom,26.9,83,6.23,Not Detected
23/2/2026,05:06:52,Living Room,27.1,83,10.13,Not Detected
23/2/2026,05:05:02,Living Room,27.1,83.1,10.16,Not Detected
23/2/2026,05:05:01,Bedroom,26.9,83,6.28,Not Detected
23/2/2026,05:03:02,Living Room,27.1,83,10.13,Not Detected
23/2/2026,05:03:00,Bedroom,27,83,6.23,Not Detected
23/2/2026,05:01:02,Living Room,27.1,83.1,9.99,Not Detected
23/2/2026,05:01:00,Bedroom,26.9,83,6.25,Not Detected
23/2/2026,04:59:01,Living Room,27.1,83.2,10.09,Not Detected
23/2/2026,04:59:00,Bedroom,26.9,83.1,6.25,Not Detected
23/2/2026,04:57:02,Living Room,27.1,83.2,10.21,Not Detected
23/2/2026,04:57:01,Bedroom,26.9,83.1,6.18,Not Detected
23/2/2026,04:55:02,Living Room,27.1,83.2,10.11,Not Detected
23/2/2026,04:55:01,Bedroom,26.9,83.1,6.25,Not Detected
23/2/2026,04:53:01,Bedroom,26.9,83.1,6.06,Not Detected
23/2/2026,04:52:53,Living Room,27.1,83.2,10.13,Not Detected
23/2/2026,04:51:58,Living Room,27.1,83.2,10.11,Not Detected
23/2/2026,04:51:57,Bedroom,27,83.1,6.15,Not Detected
23/2/2026,04:51:01,Bedroom,27,83.1,6.18,Not Detected
23/2/2026,04:50:53,Living Room,27.1,83.2,10.01,Not Detected
23/2/2026,04:49:58,Living Room,27.1,83.2,10.26,Not Detected
23/2/2026,04:49:56,Bedroom,27,83.2,6.15,Not Detected
23/2/2026,04:49:01,Bedroom,27,83.1,6.3,Not Detected
23/2/2026,04:48:53,Living Room,27.1,83.2,9.99,Not Detected
23/2/2026,04:46:54,Living Room,27.1,83.2,10.09,Not Detected
23/2/2026,04:46:53,Bedroom,27,83.2,6.23,Not Detected
23/2/2026,04:45:59,Living Room,27.1,83.2,10.11,Not Detected
23/2/2026,04:45:57,Bedroom,27,83.2,6.2,Not Detected
